DATE,GDPC1
01/01/47,2033.061
01/04/47,2027.639
01/07/47,2023.452
01/10/47,2055.103
01/01/48,2086.017
01/04/48,2120.45
01/07/48,2132.598
01/10/48,2134.981
01/01/49,2105.562
01/04/49,2098.38
01/07/49,2120.044
01/10/49,2102.251
01/01/50,2184.872
01/04/50,2251.507
01/07/50,2338.514
01/10/50,2383.291
01/01/51,2415.66
01/04/51,2457.517
01/07/51,2508.166
01/10/51,2513.69
01/01/52,2540.55
01/04/52,2546.022
01/07/52,2564.401
01/10/52,2648.621
01/01/53,2697.855
01/04/53,2718.709
01/07/53,2703.411
01/10/53,2662.482
01/01/54,2649.755
01/04/54,2652.643
01/07/54,2682.601
01/10/54,2735.091
01/01/55,2813.212
01/04/55,2858.988
01/07/55,2897.598
01/10/55,2914.993
01/01/56,2903.671
01/04/56,2927.665
01/07/56,2925.035
01/10/56,2973.179
01/01/57,2992.219
01/04/57,2985.663
01/07/57,3014.919
01/10/57,2983.727
01/01/58,2906.274
01/04/58,2925.379
01/07/58,2993.068
01/10/58,3063.085
01/01/59,3121.936
01/04/59,3192.38
01/07/59,3194.653
01/10/59,3203.759
01/01/60,3275.757
01/04/60,3258.088
01/07/60,3274.029
01/10/60,3232.009
01/01/61,3253.826
01/04/61,3309.059
01/07/61,3372.581
01/10/61,3438.721
01/01/62,3500.054
01/04/62,3531.683
01/07/62,3575.07
01/10/62,3586.827
01/01/63,3625.981
01/04/63,3666.669
01/07/63,3747.278
01/10/63,3771.845
01/01/64,3851.366
01/04/64,3893.296
01/07/64,3954.121
01/10/64,3966.335
01/01/65,4062.311
01/04/65,4113.629
01/07/65,4205.086
01/10/65,4301.973
01/01/66,4406.693
01/04/66,4421.747
01/07/66,4459.195
01/10/66,4495.777
01/01/67,4535.591
01/04/67,4538.37
01/07/67,4581.309
01/10/67,4615.853
01/01/68,4709.993
01/04/68,4788.688
01/07/68,4825.799
01/10/68,4844.779
01/01/69,4920.605
01/04/69,4935.564
01/07/69,4968.164
01/10/69,4943.935
01/01/70,4936.594
01/04/70,4943.6
01/07/70,4989.159
01/10/70,4935.693
01/01/71,5069.746
01/04/71,5097.179
01/07/71,5139.128
01/10/71,5151.245
01/01/72,5245.974
01/04/72,5365.045
01/07/72,5415.712
01/10/72,5506.396
01/01/73,5642.669
01/04/73,5704.098
01/07/73,5674.1
01/10/73,5727.96
01/01/74,5678.713
01/04/74,5692.21
01/07/74,5638.411
01/10/74,5616.526
01/01/75,5548.156
01/04/75,5587.8
01/07/75,5683.444
01/10/75,5759.972
01/01/76,5889.5
01/04/76,5932.711
01/07/76,5965.265
01/10/76,6008.504
01/01/77,6079.494
01/04/77,6197.686
01/07/77,6309.514
01/10/77,6309.652
01/01/78,6329.791
01/04/78,6574.39
01/07/78,6640.497
01/10/78,6729.755
01/01/79,6741.854
01/04/79,6749.063
